Description,Full Address,Value,Type,Base,Offset
P1_C_Assist_Onscreen,2C269BC4,1,Byte,2C2699D0,1F4
P2_A_Assist_Onscreen,2C268AD8,0,Byte,2C2688E4,1F4
P2_B_Assist_Onscreen,2C269620,0,Byte,2C26942C,1F4
P2_C_Assist_Onscreen,2C26A168,1,Byte,2C269F74,1F4
Assist_Value,,,,,
P1_A_Assist_Value,2C268809,1,Byte,2C268340,4C9
P1_B_Assist_Value,2C269351,2,Byte,2C268E88,4C9
P1_C_Assist_Value,2C269E99,0,Byte,2C2699D0,4C9
P2_A_Assist_Value,2C268DAD,0,Byte,2C2688E4,4C9
P2_B_Assist_Value,2C2698F5,0,Byte,2C26942C,4C9
P2_C_Assist_Value,2C26A43D,1,Byte,2C269F74,4C9
Attack_Immune,,,,,
P1_A_Attack_Immune,2C26852D,0,Byte,2C268340,1ED
P1_B_Attack_Immune,2C269075,2,Byte,2C268E88,1ED
P1_C_Attack_Immune,2C269BBD,2,Byte,2C2699D0,1ED
P2_A_Attack_Immune,2C268AD1,0,Byte,2C2688E4,1ED
P2_B_Attack_Immune,2C269619,0,Byte,2C26942C,1ED
P2_C_Attack_Immune,2C26A161,2,Byte,2C269F74,1ED
Attack_Number,,,,,
P1_A_Attack_Number,2C2684E1,25,Byte,2C268340,1A1
P1_B_Attack_Number,2C269029,68,Byte,2C268E88,1A1
P1_C_Attack_Number,2C269B71,50,Byte,2C2699D0,1A1
P2_A_Attack_Number,2C268A85,1,Byte,2C2688E4,1A1
P2_B_Attack_Number,2C2695CD,0,Byte,2C26942C,1A1
P2_C_Attack_Number,2C26A115,0,Byte,2C269F74,1A1
Block_Meter,,,,,
P1_A_Block_Meter,2C268551,0,Byte,2C268340,211
P1_B_Block_Meter,2C269099,0,Byte,2C268E88,211
P1_C_Block_Meter,2C269BE1,0,Byte,2C2699D0,211
P2_A_Block_Meter,2C268AF5,0,Byte,2C2688E4,211
P2_B_Block_Meter,2C26963D,0,Byte,2C26942C,211
P2_C_Block_Meter,2C26A185,0,Byte,2C269F74,211
Block_Stun,,,,,
P1_A_Block_Stun,2C26851E,0,Byte,2C268340,1DE
P1_B_Block_Stun,2C269066,0,Byte,2C268E88,1DE
P1_C_Block_Stun,2C269BAE,0,Byte,2C2699D0,1DE
P2_A_Block_Stun,2C268AC2,0,Byte,2C2688E4,1DE
P2_B_Block_Stun,2C26960A,0,Byte,2C26942C,1DE
P2_C_Block_Stun,2C26A152,0,Byte,2C269F74,1DE
Color,,,,,
P1_A_Color,2C268365,0,Byte,2C268340,25
P1_B_Color,2C268EAD,0,Byte,2C268E88,25
P1_C_Color,2C2699F5,0,Byte,2C2699D0,25
P2_A_Color,2C268909,0,Byte,2C2688E4,25
P2_B_Color,2C269451,0,Byte,2C26942C,25
P2_C_Color,2C269F99,0,Byte,2C269F74,25
CornerJump,,,,,
P1_A_CornerJump,2C268515,0,Byte,2C268340,1D5
P1_B_CornerJump,2C26905D,0,Byte,2C268E88,1D5
P1_C_CornerJump,2C269BA5,0,Byte,2C2699D0,1D5
P2_A_CornerJump,2C268AB9,0,Byte,2C2688E4,1D5
P2_B_CornerJump,2C269601,0,Byte,2C26942C,1D5
P2_C_CornerJump,2C26A149,0,Byte,2C269F74,1D5
Corner_Touch,,,,,
P1_A_Corner_Touch,2C26853D,0,Byte,2C268340,1FD
P1_B_Corner_Touch,2C269085,2,Byte,2C268E88,1FD
P1_C_Corner_Touch,2C269BCD,0,Byte,2C2699D0,1FD
P2_A_Corner_Touch,2C268AE1,0,Byte,2C2688E4,1FD
P2_B_Corner_Touch,2C269629,0,Byte,2C26942C,1FD
P2_C_Corner_Touch,2C26A171,0,Byte,2C269F74,1FD
Damage,,,,,
P1_A_Damage,2C26866E,6,Byte,2C268340,32E
P1_B_Damage,2C2691B6,0,Byte,2C268E88,32E
P1_C_Damage,2C269CFE,0,Byte,2C2699D0,32E
P2_A_Damage,2C268C12,5,Byte,2C2688E4,32E
P2_B_Damage,2C26975A,0,Byte,2C26942C,32E
P2_C_Damage,2C26A2A2,0,Byte,2C269F74,32E
Damage_Modifier,,,,,
P1_A_Damage_Modifier,2C268545,0,Byte,2C268340,205
P1_B_Damage_Modifier,2C26908D,0,Byte,2C268E88,205
P1_C_Damage_Modifier,2C269BD5,0,Byte,2C2699D0,205
P2_A_Damage_Modifier,2C268AE9,0,Byte,2C2688E4,205
P2_B_Damage_Modifier,2C269631,0,Byte,2C26942C,205
P2_C_Damage_Modifier,2C26A179,0,Byte,2C269F74,205
Defense_Modifier,,,,,
P1_A_Defense_Modifier,2C268546,0,Byte,2C268340,206
P1_B_Defense_Modifier,2C26908E,0,Byte,2C268E88,206
P1_C_Defense_Modifier,2C269BD6,0,Byte,2C2699D0,206
P2_A_Defense_Modifier,2C268AEA,0,Byte,2C2688E4,206
P2_B_Defense_Modifier,2C269632,0,Byte,2C26942C,206
P2_C_Defense_Modifier,2C26A17A,0,Byte,2C269F74,206
Dizzy_Reset_Timer,,,,,
P1_A_Dizzy_Reset_Timer,2C268522,0,Byte,2C268340,1E2
P1_B_Dizzy_Reset_Timer,2C26906A,0,Byte,2C268E88,1E2
P1_C_Dizzy_Reset_Timer,2C269BB2,0,Byte,2C2699D0,1E2
P2_A_Dizzy_Reset_Timer,2C268AC6,0,Byte,2C2688E4,1E2
P2_B_Dizzy_Reset_Timer,2C26960E,0,Byte,2C26942C,1E2
P2_C_Dizzy_Reset_Timer,2C26A156,0,Byte,2C269F74,1E2
Dizzy_Value,,,,,
P1_A_Dizzy,2C268521,80,Byte,2C268340,1E1
P1_B_Dizzy,2C269069,80,Byte,2C268E88,1E1
P1_C_Dizzy,2C269BB1,80,Byte,2C2699D0,1E1
P2_A_Dizzy,2C268AC5,80,Byte,2C2688E4,1E1
P2_B_Dizzy,2C26960D,80,Byte,2C26942C,1E1
P2_C_Dizzy,2C26A155,80,Byte,2C269F74,1E1
Facing_Right,,,,,
P1_A_Facing_Right,2C268450,1,Byte,2C268340,110
P1_B_Facing_Right,2C268F98,1,Byte,2C268E88,110
P1_C_Facing_Right,2C269AE0,0,Byte,2C2699D0,110
P2_A_Facing_Right,2C2689F4,0,Byte,2C2688E4,110
P2_B_Facing_Right,2C26953C,0,Byte,2C26942C,110
P2_C_Facing_Right,2C26A084,0,Byte,2C269F74,110
Flight_Flag,,,,,
P1_A_Flight_Flag,2C268541,0,Byte,2C268340,201
P1_B_Flight_Flag,2C269089,0,Byte,2C268E88,201
P1_C_Flight_Flag,2C269BD1,0,Byte,2C2699D0,201
P2_A_Flight_Flag,2C268AE5,0,Byte,2C2688E4,201
P2_B_Flight_Flag,2C26962D,0,Byte,2C26942C,201
P2_C_Flight_Flag,2C26A175,0,Byte,2C269F74,201
FlyingScreen,,,,,
P1_A_FlyingScreen,2C268575,0,Byte,2C268340,235
P1_B_FlyingScreen,2C2690BD,0,Byte,2C268E88,235
P1_C_FlyingScreen,2C269C05,0,Byte,2C2699D0,235
P2_A_FlyingScreen,2C268B19,0,Byte,2C2688E4,235
